,Activity
7310,3
5434,3
3831,4
6698,6
6688,6
985,2
1821,6
587,6
7012,4
5094,5
6693,6
7305,3
4661,3
5831,3
3557,1
1395,6
264,1
3547,1
5107,4
6710,6
5180,1
3864,6
6098,4
2400,5
6637,5
3711,6
246,6
1594,3
7144,2
4963,6
923,1
5281,5
6829,5
669,2
3604,3
1910,5
5117,4
3958,3
2696,2
2591,4
1781,5
3013,3
2307,1
4392,5
3690,6
687,2
612,1
3200,3
2267,4
7048,6
7193,5
1898,2
5288,5
258,1
2924,4
2822,1
3339,6
3525,6
2285,6
484,3
2211,2
6774,2
2555,5
7,5
3657,4
6228,2
4402,5
2426,4
1814,6
2274,4
1011,5
4970,6
1067,6
1991,1
3970,5
5704,5
3867,6
6558,1
3048,2
781,1
7134,2
1749,2
2791,6
1091,1
5070,5
6258,5
5960,6
2608,6
6023,3
2290,6
1727,3
610,1
343,3
5729,4
3750,1
3215,2
97,1
6135,6
1537,6
3588,2
3648,4
5848,2
4541,5
1517,4
6470,5
4272,6
3669,4
2090,4
572,4
6683,4
6100,4
3062,5
4653,1
5314,4
6328,4
4914,5
370,5
1938,4
7347,2
6345,6
3670,4
3652,4
2361,2
4260,6
4574,4
6626,5
3737,1
4520,2
5061,2
5093,5
1171,5
4781,6
1422,1
6597,3
6471,5
4823,1
874,5
2297,6
2643,1
6368,6
840,2
581,6
204,4
1641,5
2014,3
3253,5
4532,2
905,6
631,1
5360,6
6139,6
1974,6
162,2
5012,1
6605,2
4672,3
875,4
1431,3
6342,6
4584,4
4669,3
2856,2
1861,1
2659,3
3384,3
6748,1
6000,1
3331,6
6010,3
5522,4
5118,4
2096,4
2003,1
546,5
1449,3
5087,5
2610,6
1900,2
5789,1
2757,4
1885,2
7105,3
2097,4
7320,3
6604,2
836,2
3471,4
5845,2
2171,3
6317,4
6257,5
398,4
2010,3
7061,6
1283,3
5171,1
5364,6
4256,4
1836,6
1019,5
1326,5
5570,6
475,3
2810,1
6618,2
1651,4
6821,5
6281,5
2528,2
1206,4
4774,6
5648,2
4629,6
867,5
2974,1
541,5
1132,2
7122,2
7221,4
3390,2
5278,5
2962,6
4155,2
3259,5
4988,1
7259,6
2583,4
2813,1
5697,5
6369,6
6733,1
3586,2
5090,5
6377,1
2630,6
5885,5
4680,2
1080,1
4283,6
2085,4
2452,6
2023,3
5641,3
226,4
1013,5
1929,4
6338,6
1404,1
2179,3
697,5
1124,3
3895,6
1778,5
4685,2
2634,1
3489,4
1037,4
2256,4
6124,4
7267,1
313,2
2649,1
2281,6
5260,2
2547,5
2159,1
3137,6
6107,4
3967,5
1428,3
5743,6
2520,2
5506,5
5424,3
448,1
6290,4
1284,3
3727,1
361,5
5920,4
5856,3
2460,6
22,5
2066,5
1653,4
702,5
5313,4
2743,4
1376,6
5972,6
2468,1
3754,3
2325,1
460,1
4183,5
4082,6
1486,5
3678,4
282,1
4558,5
4308,1
3537,1
5157,6
2581,4
1368,4
6629,5
4930,4
597,6
4351,2
5968,6
7298,3
6924,3
5812,1
3468,4
4692,2
2990,1
6539,6
2544,5
5452,2
5374,6
4066,6
3988,5
7309,3
685,2
7094,1
3243,5
5683,5
4083,6
2837,3
3697,6
6445,2
4040,4
2230,5
5357,6
2320,1
521,2
522,5
5735,4
5914,4
5911,4
5540,4
780,1
5746,6
4975,6
651,3
5472,2
2196,2
369,5
4816,1
4214,5
377,5
5775,6
2216,2
5590,6
1613,2
6598,3
3632,5
962,3
6770,3
7070,1
6887,6
359,5
3839,4
4913,5
1246,1
5121,4
3694,6
6207,3
2567,5
3423,2
2037,2
772,1
6755,3
3562,3
6954,2
6718,6
4860,2
4531,2
1674,6
365,5
5719,4
4915,4
4327,1
147,3
6461,5
3088,5
5838,2
407,6
6787,2
3456,5
4182,5
3576,2
3271,5
1031,4
4810,1
855,5
3926,1
78,1
2247,5
5433,3
6712,6
6758,3
5049,2
788,1
2279,6
4095,6
3897,6
6473,5
6103,4
3631,5
5495,5
424,6
392,4
5478,5
6937,3
4200,5
2672,3
6723,6
4962,6
3493,6
1459,2
5930,4
6834,4
3835,4
6424,3
5684,5
6996,4
4724,5
5700,5
2355,2
2442,6
6744,1
6496,4
464,1
163,2
6361,6
6584,3
7044,6
7289,1
2009,1
3084,5
900,6
6300,4
2293,6
4481,1
4605,6
3716,6
6097,4
1764,5
1549,1
3029,2
5544,4
2044,2
767,1
1508,4
7141,2
4517,2
4219,5
6106,4
6066,5
3292,4
819,3
1403,1
1382,6
2148,1
1638,5
7068,1
399,4
882,4
3565,3
6568,1
1179,5
4244,4
5011,1
2130,6
456,1
1950,4
689,5
5806,1
7281,1
1953,6
2710,5
7139,2
4349,2
6381,1
1884,2
5528,4
6497,4
2494,1
3036,2
3603,3
845,2
542,5
3724,1
4187,5
3679,4
5867,5
6011,3
5041,2
2964,6
2529,2
1048,4
1960,6
2530,2
5402,1
237,6
1133,2
6079,5
4259,6
5422,3
5516,4
5662,2
2978,1
5817,3
6537,6
5201,1
3919,1
3138,6
6559,1
4073,6
6555,1
3229,2
1826,6
593,6
2725,5
4137,3
560,4
5756,6
5165,6
243,6
4437,6
5498,5
405,6
1442,3
261,1
4923,4
6705,6
1689,6
1725,3
2496,3
4937,4
340,3
5123,4
1601,2
4576,4
3725,1
7279,1
2785,6
1523,6
6517,6
6525,6
6809,5
5938,4
1766,5
7252,6
4037,4
5807,1
5954,6
7261,6
363,5
7271,1
6866,6
4725,5
4443,6
5857,3
6788,2
2562,5
7182,5
6738,1
6823,5
3083,5
6772,3
2102,4
632,1
2493,1
2665,3
6506,4
4406,4
5708,4
5210,3
2334,3
7055,6
3619,5
3883,6
5057,2
4211,5
1494,5
2401,5
3874,6
1232,6
2661,3
2817,1
6715,6
5834,2
4153,2
5818,3
3061,5
6284,5
7272,1
1735,3
2823,1
5602,1
5037,3
2475,1
2564,5
6191,1
5680,5
707,5
3046,2
6274,5
5608,1
72,6
4448,6
4839,2
6876,6
1190,4
2601,6
1125,3
1241,1
6587,3
6063,5
5508,5
3351,1
4008,5
1577,3
3906,1
3729,1
4358,2
1343,4
7332,2
440,1
1100,1
2637,1
6818,5
649,3
1546,6
5587,6
5607,1
2852,2
3503,6
7002,4
630,1
4768,6
1249,1
5025,3
482,3
1584,3
4676,2
1462,2
3040,2
5650,2
3273,5
3683,6
4145,2
5176,1
4954,6
3225,2
1072,6
4815,1
2631,1
1660,4
2425,4
6198,3
5582,6
3097,4
3976,5
6581,3
6976,5
5221,3
5825,3
1408,1
1845,1
1798,4
3957,3
1475,2
35,4
444,1
2359,2
3654,4
3179,1
1286,3
5441,3
4445,6
3416,3
2137,6
2636,1
4016,4
7100,3
1681,6
5515,4
1692,1
5417,3
5879,5
3635,5
372,5
6678,4
4882,5
6962,2
140,3
4884,5
4419,4
6845,4
6957,2
714,5
3188,1
6493,4
4431,4
5144,6
406,6
20,5
1004,5
4986,1
2411,5
2545,5
2390,5
5904,4
42,4
2830,3
3371,1
3022,3
3364,1
4399,5
11,5
4760,4
1177,5
1947,4
2501,3
2863,2
3865,6
1026,4
3848,4
2989,1
961,3
2889,5
3015,3
3338,6
5190,1
735,4
4400,5
1440,3
2875,5
3986,5
916,6
6133,6
6372,1
4089,6
6790,2
5741,4
2772,6
1624,5
5827,3
821,3
1367,4
3712,6
6607,2
850,5
1000,5
5457,2
4114,1
1637,5
1667,6
4589,4
3173,1
6995,5
1347,4
5738,4
3230,2
5169,6
5646,2
4783,6
3232,2
6012,3
703,5
5105,4
5858,2
3291,4
3673,4
2408,5
1327,5
6840,4
6041,2
4909,5
4440,6
6141,6
986,2
5836,2
6671,4
6324,4
6264,5
4049,4
3485,4
2474,1
3873,6
1198,4
4181,5
1518,4
6095,4
1799,4
1014,5
128,3
1364,4
6542,6
4470,6
891,4
2793,6
6173,1
4403,4
6999,4
6308,4
3249,5
1208,4
3868,6
6601,3
4065,6
6291,4
1239,1
2289,6
2740,4
275,1
4585,4
1035,4
1229,6
1008,5
3828,4
2532,2
4293,6
1058,6
6393,1
281,1
1043,4
1316,5
968,2
2381,2
6929,3
1939,4
5275,5
1274,3
619,1
5337,4
1742,2
1390,6
6136,6
1579,3
1655,4
3568,3
2352,3
2212,2
7308,3
3178,1
3192,3
1307,2
575,4
2360,2
1280,3
5978,1
4957,6
6082,5
1993,1
2639,1
269,1
629,1
5440,3
3081,5
3466,4
6422,3
4396,5
4023,4
6964,2
2046,2
4356,2
6621,2
2113,6
27,4
2040,2
3928,3
6646,5
3216,2
6846,4
3814,5
129,3
6050,2
7215,4
4599,6
13,5
6309,4
4476,1
1525,6
2365,2
4648,1
3052,5
4005,5
2340,3
374,5
5396,1
6479,5
939,1
7180,5
4573,4
2147,1
3591,2
5809,1
6675,4
6182,1
3623,5
529,5
3714,6
4732,4
1269,3
4281,6
1394,6
4850,3
4009,5
4390,5
1797,4
2979,1
1441,3
5494,5
7158,2
3811,5
1273,3
4703,5
1712,1
955,3
5438,3
5873,5
6502,4
6750,3
403,4
2071,5
6983,5
1977,6
158,2
3888,6
902,6
352,5
4540,5
4130,3
754,6
2971,6
7316,3
2920,4
311,2
4644,1
661,3
1989,1
3665,4
306,2
2335,3
4790,6
2356,2
3702,6
3804,5
1927,4
6450,2
3427,5
749,6
3638,5
5470,2
1266,3
6472,5
6500,4
3595,2
2134,6
5066,5
4109,1
4969,6
4904,5
514,2
6575,1
409,6
5480,5
7322,2
7268,1
6371,1
207,4
5979,1
458,1
2054,2
2430,4
250,1
6279,5
1107,3
6817,5
1713,1
3911,1
715,5
552,4
1439,3
2270,4
3144,6
7017,4
1925,4
634,1
316,2
6902,1
427,6
7146,3
105,1
3041,2
4238,4
2169,3
1709,1
89,1
2241,5
3174,1
5483,5
1949,4
4044,4
2848,2
1,5
4337,3
935,1
7248,6
2720,5
5205,1
591,6
5514,4
2936,4
2448,6
1576,3
7159,2
6137,6
213,6
778,1
3496,6
5767,6
2043,2
6667,4
1567,1
165,2
4702,5
3566,3
6878,6
6988,5
2013,3
273,1
3860,4
4167,3
5865,2
3788,2
5183,1
394,4
583,6
7328,2
6814,5
6040,2
7028,6
520,2
1763,5
1875,3
5355,6
3965,5
3344,6
2253,4
3224,2
526,5
2946,6
4473,1
3899,6
692,5
6946,2
4444,6
3633,5
1050,6
590,6
519,2
3380,3
3676,4
6056,5
5179,1
1607,2
3610,5
7013,4
7349,2
1809,4
791,1
792,1
6044,2
1855,1
1980,6
3233,2
3598,3
933,1
3963,2
5459,2
6824,5
4179,5
4026,4
6511,4
4116,1
988,2
5666,2
3453,5
6714,6
3778,2
6169,1
3093,4
3155,6
5069,5
3201,3
5931,4
1098,1
6105,4
2844,3
886,4
7253,6
5698,5
515,2
6784,2
4833,3
1453,2
3553,1
3609,5
4665,3
2506,3
2994,1
3999,5
6966,2
906,6
28,4
6311,4
2507,3
2428,4
5043,2
5346,6
762,6
3747,1
4811,1
284,1
686,2
6794,2
2353,3
5913,4
6319,4
21,5
2752,4
885,4
917,6
1040,4
5830,3
1265,1
4579,4
6365,6
6835,4
277,1
5084,5
2084,4
1245,1
2382,5
571,4
1435,3
3902,6
5089,5
1247,1
6221,2
4681,2
3526,6
2514,3
5445,2
1007,5
4770,6
4543,5
7037,6
6370,6
2064,5
5352,6
5803,1
1690,6
7275,1
5343,6
1985,1
294,1
1547,6
2012,3
588,6
3329,6
2403,5
2129,6
3998,5
6440,2
3741,1
3508,6
2719,5
4521,3
5150,6
6697,6
6704,6
556,4
4795,6
2469,1
3738,1
4286,6
7059,6
5289,5
1716,3
2604,6
6062,5
1704,1
2139,1
3239,5
2383,5
4311,1
1285,3
6261,5
6570,1
3930,3
6225,2
1591,3
6903,1
6514,4
2162,1
2396,5
317,2
6600,3
3111,4
5233,3
5871,5
7133,2
4036,4
795,1
3020,3
1711,1
3387,3
36,4
4549,5
913,6
5295,5
3972,5
5370,6
4133,3
974,2
983,2
6867,6
1418,1
1560,1
4135,3
5860,2
4265,6
1355,4
6881,6
6969,5
987,2
2682,2
5047,2
1640,5
1290,2
3681,4
1380,6
1933,4
4675,2
6186,1
3160,6
2030,3
892,4
4876,2
4069,6
4255,4
2,5
2109,4
849,5
2737,4
2466,1
1914,5
1596,3
1913,5
5139,6
6921,3
2736,4
726,4
53,6
1796,4
3845,4
2553,5
2800,1
936,1
6060,5
824,2
4321,1
3401,3
1389,6
3564,3
884,4
5429,3
4867,3
1868,3
5181,1
10,5
3415,3
5421,3
1463,2
806,3
5993,1
6543,6
4068,6
2108,4
6206,3
7288,1
2234,5
963,3
4494,1
2632,1
704,5
431,6
4388,5
145,3
2033,2
6950,2
1165,5
3500,6
2050,2
3760,3
2624,6
4484,1
4435,6
7095,1
5694,5
4361,3
2424,4
1262,1
1771,5
3511,6
271,1
4792,6
7319,3
244,6
7126,2
4572,4
2032,2
7135,2
5808,1
813,3
3810,5
7294,3
5967,6
1804,4
6246,5
4346,2
2461,6
545,5
3241,5
738,4
310,2
3521,6
1131,2
5545,4
7237,6
4111,1
2769,6
920,1
6159,6
3587,2
3959,2
38,4
4459,6
4278,6
2983,1
5290,5
7334,2
5217,3
2667,3
3223,2
1182,5
6672,4
614,1
7216,4
1466,2
4497,3
3042,2
934,1
2419,4
5085,5
6634,5
5955,6
4822,1
826,2
1521,4
2930,4
4232,4
628,1
4430,4
3853,4
390,4
4345,2
7160,2
3990,5
400,4
4806,1
5135,4
5937,4
3359,1
46,4
5657,2
7049,6
7242,6
3642,5
3726,1
6729,1
5208,3
5319,4
7130,2
2421,4
5604,1
1750,2
7103,3
7173,5
4062,6
338,3
215,6
3663,4
1341,5
6722,6
7112,3
3894,6
3640,5
329,2
5782,6
3004,3
7018,4
3115,4
7106,3
2322,1
4197,5
3549,1
1458,2
171,2
4203,5
6156,6
3569,3
4226,4
5158,6
6087,5
6055,5
938,1
60,6
1240,1
5760,6
5136,4
6142,6
2120,6
1524,6
153,2
481,3
4460,6
3920,1
1762,5
750,6
1785,5
6111,4
4501,3
4853,3
2711,5
5939,4
4193,5
1333,5
6544,6
2854,2
186,5
1136,2
2058,5
7297,3
6158,6
148,3
4124,1
4889,5
5950,6
3363,1
4788,6
2866,2
3776,2
1386,6
6943,3
6080,5
5695,5
3629,5
7040,6
4797,6
3028,2
2969,6
6394,1
1708,1
2953,6
454,1
609,6
4263,6
4826,1
6232,2
2074,5
4052,4
5974,6
1622,2
4683,2
5497,5
5796,1
6443,2
40,4
5475,5
2089,4
3924,1
2175,3
74,6
5882,5
7251,6
2657,1
3180,1
2076,5
441,1
2051,2
2541,2
1301,2
3430,5
1304,2
236,4
6126,4
2599,6
4616,6
2573,4
3280,4
3186,1
3953,3
2768,6
4831,3
4223,4
2106,4
2679,3
2761,4
4688,2
5399,1
1387,6
6897,1
6652,5
5909,4
7090,1
5000,1
5853,3
1279,3
6561,1
7201,4
1555,1
6647,5
3190,3
4566,5
4802,1
7169,5
4841,2
3594,2
1920,5
513,2
4177,5
1308,2
5667,2
914,6
3452,5
3695,6
4242,4
3156,6
2198,2
774,1
4425,4
943,1
822,2
5005,1
4277,6
164,2
5619,3
4547,5
3983,5
2538,2
7008,4
1311,2
5207,3
6684,6
5383,1
6128,6
6819,5
3300,4
3310,4
327,2
5886,5
2490,1
6885,6
4408,4
832,2
3079,5
3462,4
5297,5
6444,2
54,6
4064,6
3451,5
1901,2
1481,5
4873,2
4895,5
4150,2
3335,6
4926,4
946,3
5797,1
3293,4
2161,1
7114,3
5083,5
6224,2
3057,5
5490,5
768,1
6908,1
3495,6
285,1
7264,1
4524,3
6538,6
2332,3
2717,5
2079,5
3389,2
722,4
951,3
6410,2
2262,4
989,2
3212,3
1759,5
6033,2
4422,4
5479,5
1724,3
5182,1
341,3
3701,6
4243,4
688,5
3432,5
5203,1
4944,4
966,3
7185,5
6645,5
2203,2
2713,5
4757,4
5098,5
6476,5
6724,1
5280,5
5975,6
3572,3
4805,1
5299,5
1990,1
4120,1
4759,4
6027,2
5298,5
6426,3
4971,6
6963,2
5034,3
3600,3
6905,1
7317,3
6057,5
385,4
6417,3
6711,6
536,5
6855,4
5032,3
4212,5
3507,6
201,5
1332,5
3502,6
2708,5
5031,3
4662,3
4021,4
1854,1
6572,1
2872,5
3030,2
1205,4
1645,4
3417,3
3476,4
6187,1
2861,2
1792,4
5526,4
3797,5
3368,1
3367,1
3533,1
6451,5
5109,4
6024,3
3449,5
603,6
3056,5
6400,3
126,3
7209,4
3876,6
2935,4
5443,3
4451,6
3531,1
2730,4
827,2
1639,5
984,2
3281,4
7307,3
2188,3
6771,3
2443,6
362,5
2349,3
345,3
814,3
4807,1
3205,3
6104,4
7043,6
5961,6
3325,6
4106,1
6578,1
2116,6
1834,6
793,1
7273,1
2674,3
94,1
4225,4
3756,3
2891,5
2371,2
6086,5
6515,4
3228,2
5996,1
6553,6
6028,2
2853,2
6802,5
2912,4
1865,1
5754,6
4612,6
1857,1
2645,1
2243,5
5373,6
2336,3
950,3
3068,5
1120,3
2597,6
2204,2
419,6
922,1
1254,1
477,3
2035,2
6765,3
5788,1
5742,6
5567,6
1202,4
2626,6
5765,6
7207,4
1970,6
3110,4
4018,4
2151,1
3687,6
4916,4
1997,1
4033,4
7205,4
3054,5
1248,1
2192,2
2712,5
992,5
2190,3
4670,3
5142,6
5984,1
3762,3
3597,3
4711,5
1318,5
1863,1
2343,3
2449,6
2136,6
1065,6
5868,5
7292,1
4227,4
2621,6
77,6
2898,5
6148,6
4820,1
1314,2
5947,6
7325,2
872,5
3850,4
5468,2
5951,6
7027,4
2965,6
3391,2
5415,1
2560,5
7196,5
2635,1
5256,2
3530,1
375,5
1908,5
4429,4
6676,4
6429,3
4027,4
1604,2
1118,3
3677,4
3490,4
7143,2
6039,2
2958,6
1994,1
7287,1
6392,1
2376,2
6730,1
1342,5
320,2
1619,2
3713,6
6727,1
2060,5
2219,2
1673,6
6038,2
260,1
6569,1
2039,2
4785,6
901,6
3744,1
2026,3
4234,4
1917,5
1828,6
1573,1
4415,4
4749,4
6452,5
4654,1
4208,5
4627,6
224,6
723,4
6595,3
1141,2
5529,4
5764,6
5554,4
6971,5
2762,6
846,2
4289,6
5560,6
5042,2
6117,4
2551,5
5725,4
2928,4
117,1
645,3
5966,6
3,5
4170,2
5851,3
467,3
5,5
5342,6
919,6
2595,4
4324,1
1063,6
2590,4
242,6
6745,1
1160,5
2870,2
3735,1
6721,6
2397,5
3517,6
3421,2
2563,5
5622,3
1605,2
7086,1
2324,1
2709,5
6459,5
1312,2
3448,5
3812,5
6085,5
6833,4
2362,2
1975,6
3514,6
1761,5
5401,1
2739,4
5637,3
6842,4
2472,1
4007,5
4718,5
6177,1
1493,5
4206,5
2158,1
1169,5
6639,5
232,4
66,6
1603,2
6168,1
3283,4
3596,2
6288,4
4632,1
125,3
6229,2
5350,6
1296,2
1976,6
6925,3
6589,3
2075,5
4580,4
5750,6
6939,3
3086,5
6378,1
3345,6
6565,1
5870,5
2797,6
918,6
1646,4
5122,4
5126,4
4978,6
5431,3
4621,6
364,5
3287,4
2125,6
4123,1
4569,4
525,5
4821,1
55,6
638,3
302,3
2766,6
5811,1
1276,3
6883,6
4720,5
2055,2
5376,6
5145,6
4432,4
3644,5
4143,2
2878,5
4202,5
5175,1
2286,6
2261,4
5240,2
6540,6
2296,6
5932,4
1753,2
5197,1
1968,6
6387,1
3117,4
2393,5
523,5
5524,4
3900,6
6847,4
4699,5
5585,6
6487,4
3122,4
4156,2
1969,6
671,2
4188,5
666,2
6366,6
1887,2
3266,5
280,1
1719,3
2947,6
4455,6
899,6
6031,2
7120,3
6090,5
6441,2
760,6
6254,5
1906,5
4042,4
3823,5
4138,3
3818,5
6269,5
4300,6
5569,6
6196,3
2593,4
4164,3
3031,2
5971,6
3579,2
2832,3
5449,2
3472,4
6327,4
137,3
4892,5
2180,3
2128,6
3177,1
4854,3
4637,1
5115,4
6411,2
4261,6
4344,2
1331,5
2017,3
4542,5
2482,1
1358,4
6241,2
1329,5
7240,6
2150,1
4530,2
2122,6
4673,2
3981,5
1252,1
3278,5
3374,1
2814,1
4719,5
1848,1
4858,2
3037,2
388,4
235,4
1077,1
1984,1
4363,3
3962,2
770,1
2165,1
4533,2
673,2
249,1
6297,4
1574,1
6238,2
3419,2
2081,5
1823,6
6830,5
7026,4
4544,5
5565,6
716,4
6556,1
6858,4
2048,2
5997,1
5264,2
4178,5
4809,1
2724,5
6644,5
1460,2
5989,1
1668,6
2756,4
2000,1
4571,4
4613,6
404,6
384,4
6602,2
2152,1
1633,5
6734,1
5580,6
4784,6
3925,1
5336,4
4158,2
4948,6
5898,5
6663,4
5358,6
223,6
2193,2
3136,6
4469,6
1824,6
6752,3
5124,4
4972,6
797,3
2871,5
9,5
1944,4
1838,6
4804,1
255,1
5713,4
4485,1
6625,5
1581,3
2956,6
924,1
6512,4
2508,3
6132,6
5024,3
5320,4
6042,2
3775,2
4835,3
4136,3
4964,6
2779,6
539,5
2745,4
6609,2
6850,4
5467,2
1145,2
5127,4
4468,6
667,2
3019,3
357,5
5063,2
2831,3
2783,6
1353,4
5131,4
470,3
2703,2
3330,6
3637,5
1396,1
3584,2
6596,3
5262,2
5645,2
3376,1
1256,1
6190,1
3512,6
5651,2
5778,6
1250,1
5795,1
5348,6
7060,6
4298,6
3284,4
2933,4
4175,2
5268,2
4910,5
1852,1
6316,4
6875,6
7149,3
2105,4
133,3
5236,2
5029,3
928,1
823,2
6680,4
1531,6
1214,6
504,2
4285,6
6491,4
1996,1
6530,6
3072,5
1958,6
1384,6
894,4
4924,4
455,1
5779,6
6807,5
3709,6
6782,2
4849,3
4748,4
4268,6
3522,6
4134,3
3602,3
7181,5
713,5
4186,5
2214,2
5301,5
2923,4
6660,4
1810,4
3486,4
3141,6
1827,6
1155,2
1324,5
4312,1
510,2
1680,6
499,2
6666,4
1856,1
1388,6
5615,1
3719,6
2386,5
5541,4
3236,2
6172,1
1540,6
1217,6
2681,2
2993,1
5512,5
6313,4
1191,4
5772,6
5293,5
1542,6
3301,4
3324,6
2539,2
953,3
4846,3
4330,3
732,4
7341,2
1156,5
6806,5
3294,4
6541,6
2982,1
5305,5
5161,6
2156,1
1062,6
2616,6
1167,5
3222,2
3636,5
5588,6
2938,6
4491,1
3140,6
4980,6
143,3
7282,1
3577,2
4946,6
2782,6
717,4
1819,6
2502,3
4360,3
4171,2
6588,3
395,4
5731,4
6320,4
7102,3
4492,1
1365,4
6699,6
5999,1
595,6
6205,3
3952,2
5392,1
5917,4
4968,6
2914,4
7241,6
2326,1
5644,2
3766,2
3440,5
3851,4
4132,3
6739,1
2143,1
6779,2
5073,5
1571,1
4079,6
1122,3
2786,6
6335,6
2967,6
2504,3
5988,1
3465,4
675,2
2808,1
3348,1
728,4
412,6
3146,6
1516,4
5745,6
825,2
3267,5
3974,5
616,1
114,1
417,6
3069,5
1625,5
7278,1
4185,5
2896,5
6861,4
2082,5
753,6
2546,5
3969,5
3373,1
5726,4
4107,1
2444,6
4380,5
1066,6
3913,1
5287,5
5536,4
5387,1
5732,4
3498,6
2738,4
5052,2
4000,5
1568,1
2427,4
3746,1
6810,5
1687,6
851,5
3546,1
6303,4
895,4
4592,4
6401,3
5878,5
335,3
2839,3
3087,5
4611,6
1348,4
1015,5
2816,1
1631,5
2489,1
3730,1
3251,5
6804,5
5877,5
6665,4
5881,5
2070,5
4452,6
7172,5
5408,1
1635,5
4646,1
6484,5
2479,1
6617,2
2265,4
2959,6
5323,4
6978,5
3059,5
5053,2
5869,5
2141,1
5104,4
3118,4
5188,1
6936,3
4045,4
3356,1
2744,4
5092,5
3506,6
1679,6
4249,4
3147,6
2294,6
580,6
1470,2
4799,1
4070,6
5308,4
3343,6
4992,1
4583,4
3672,4
559,4
5237,2
5215,3
2849,2
512,2
4729,4
1081,1
1664,4
1012,5
1931,4
1150,2
2838,3
5949,6
116,1
740,6
7057,6
6070,5
5177,1
3675,4
5906,4
830,2
119,1
4752,4
7015,4
6958,2
7266,1
635,1
4465,6
4364,3
6799,5
4142,3
991,5
876,4
4869,3
5315,4
5222,3
4,5
3051,5
5691,5
3124,4
6407,2
2660,3
2491,1
5173,1
3854,4
4933,4
4777,6
1715,1
6448,2
6713,6
6457,5
6293,4
1148,2
3261,5
574,4
3769,2
3736,1
4146,2
853,5
1982,1
2774,6
5919,4
4929,4
5211,3
1166,5
6614,2
6002,1
971,2
2701,2
4495,3
6655,5
3847,4
2368,2
4115,1
4780,6
4131,3
2950,6
5625,3
524,5
2455,6
5016,3
1841,6
5986,1
537,5
2806,1
5801,1
5596,1
4341,3
3175,1
784,1
4057,6
1409,1
2537,2
154,2
3009,3
1686,6
2901,5
7277,1
4721,5
3863,6
2733,4
1895,2
5442,3
569,4
6709,6
5854,3
1816,6
2065,5
127,3
3394,2
3327,6
7324,2
6102,4
2975,1
980,2
2300,6
190,5
1139,2
5088,5
699,5
7016,4
606,6
4276,6
301,3
6640,5
3420,2
7075,1
1060,6
7132,2
7200,4
2565,5
7337,2
1069,6
2524,2
2205,2
1243,1
16,5
3120,4
7327,2
4642,1
4754,4
815,3
3067,5
7021,4
5600,1
959,3
6427,3
4893,5
225,4
6170,1
3354,1
5895,5
2485,1
562,4
3436,5
6373,1
6181,1
1693,1
6893,6
1045,4
3446,5
4565,5
954,3
7323,2
2735,4
7206,4
4735,4
7078,1
1218,6
5254,2
5511,5
6990,5
1527,6
3987,5
7254,6
1300,2
7187,5
6944,3
5699,5
160,2
4067,6
5800,1
956,3
3791,2
3234,2
2869,2
3777,2
4433,4
4973,6
6015,3
2961,6
5980,1
2200,2
98,1
7142,2
2557,5
3183,1
253,1
3923,1
4199,5
1445,3
5539,4
1648,4
4682,2
4723,5
3991,5
1696,1
3191,3
6197,3
6295,4
4499,3
1154,2
2255,4
6959,2
1682,6
3170,1
2056,2
4090,6
7163,2
3108,4
4548,5
3723,6
6397,1
5423,3
2049,2
4976,6
3643,5
7249,6
623,1
6489,4
7069,1
5883,5
262,1
5730,4
3369,1
4061,6
5534,4
6294,4
6065,5
6616,2
1802,4
4736,4
7335,2
2385,5
6694,6
5759,6
1959,6
2976,1
488,2
1843,1
1734,3
2911,4
3219,2
146,3
5630,3
1986,1
1369,6
6546,6
6051,5
2811,1
659,3
1794,4
2511,3
3397,3
4282,6
1147,2
3272,5
608,6
6287,4
6895,1
3582,2
1930,4
197,5
2931,4
2327,1
4389,5
766,6
4496,3
4218,5
3255,5
202,4
3510,6
4931,4
6390,1
5535,4
1733,3
5791,1
2777,6
1707,1
5172,1
5249,2
5757,6
3474,4
6528,6
5855,3
854,5
5685,5
6363,6
4737,4
4097,6
2160,1
698,5
7274,1
2999,3
3696,6
1636,5
3457,5
3581,2
1291,2
4659,3
6585,3
5616,1
1853,1
5232,3
3763,3
3304,4
7226,4
5727,4
3743,1
3445,5
1998,1
663,2
4779,6
5353,6
3748,1
4413,4
4744,4
5530,4
5575,6
709,5
1282,3
5864,2
5068,5
2675,3
6776,2
4029,4
1306,2
5496,5
5504,5
2237,5
3302,4
5592,1
2038,2
1529,6
1663,4
5450,2
7257,6
7284,1
3627,5
5739,4
5147,6
4891,5
2693,2
3060,5
1597,3
6700,6
2729,5
2625,6
5915,4
3157,6
3314,6
1722,3
5279,5
6668,4
1059,6
4636,1
3242,5
1678,6
6892,6
6374,1
6628,5
1757,5
6019,3
4191,5
5116,4
563,4
2790,6
863,5
1484,5
7035,6
5977,1
5134,4
206,4
4488,1
6938,3
870,5
4493,1
6910,1
502,2
1028,4
3840,4
2690,2
5581,6
6756,3
5056,2
1570,1
2773,6
5991,1
2731,4
6242,2
804,3
5847,2
3645,5
2454,6
4598,6
3104,4
7073,1
4875,2
5959,6
200,5
6278,5
3099,4
6184,1
7161,2
2278,6
3561,3
5892,5
4474,1
6432,2
4514,2
5794,1
391,4
